line,station
CN2,"Merl, Orval"
CN2,"Belair, Place De France"
CN2,"Merl, Parc"
CN2,"Belair, Franciscaines"
CN2,"Belair, Crécy"
CN2,"Belair, Wampach"
CN3,"Centre, Martyrs"
CN3,"Centre, Paris/Zitha"
CN3,"Luxembourg, Wallis"
CN3,"Bonnevoie, Huese Vic"
CN3,"Bonnevoie, Virchow"
CN3,"Bonnevoie, Fraternité"
CN3,"Bonnevoie, Vannérus"
CN3,"Bonnevoie, Wisestrooss"
CN3,"Bonnevoie, Jeanne D'Arc"
CN3,"Bonnevoie, Nic Martha"
CN3,"Bonnevoie, Jules Fischer"
CN3,"Bonnevoie, Lycée Technique De Bonnevoie/Quais"
CN3,"Howald, Rangwee"
CN3,"Gasperich, Clemenceau"
CN3,"Gasperich, Bei Der Auer"
CN3,"Gasperich, Al Gasperich"
CN3,"Gasperich, Gaasperecherbierg"
CN3,"Cessange, Rue Verte"
CN3,"Cessange, Kierch"
CN3,"Cessange, Fischerhaff"
CN3,"Cessange, Artisans"
CN3,"Cessange, Barrès"
CN3,"Hollerich, Assurances Sociales"
CN3,"Hollerich, Heentze Park"
CN3,"Belair, Rheinsheim"
CN4,"Centre, Badanstalt"
CN4,"Limpertsberg, Crispinus"
CN4,"Eich, Octroi"
CN4,"Eich, Eecher Plaz"
CN4,"Weimerskirch, Laval's Park"
CN4,"Weimerskirch, Duerf"
CN4,"Weimerskirch, Mäertesbur"
CN4,"Weimerskirch, Pierre-Eloi Schoué"
CN4,"Weimerskirch, St.Vith"
CN4,"Kirchberg, Paul Noesen"
CN4,"Kirchberg, Jean Monnet"
CN4,"Kirchberg, Antoine De St Exupéry"
CN4,"Kirchberg, Konrad Adenauer"
CN4,"Kirchberg, Avalon"
CN4,"Kirchberg, Chambre Des Métiers"
CN4,"Kirchberg, Alphonse Weicker"
CN4,"Kirchberg, Rout Bréck - Pafendall"
CN4,"Centre, Fondation Pescatore"
CSB,"Centre, Beaumont"
CSB,"Limpertsberg, Parking Glacis"
CSB,"Centre, Forum Royal"
CSB,"Centre, Hällepull"
